timestamp,date,hour,minute,weekday,department,waiting_count,avg_wait_time,state,queue_number,priority,congestion_level
2025-08-30T15:15:00+00:00,2025-08-30,15,15,5,진단검사의학과,1,12.0,mixed,0,normal,0.05
2025-08-30T15:25:00+00:00,2025-08-30,15,25,5,내과,1,19.0,mixed,0,normal,0.05
2025-08-30T15:30:00+00:00,2025-08-30,15,30,5,진단검사의학과,3,11.3,mixed,0,normal,0.15
2025-08-30T15:35:00+00:00,2025-08-30,15,35,5,X-ray실,1,8.0,mixed,0,normal,0.05
2025-08-30T15:40:00+00:00,2025-08-30,15,40,5,진단검사의학과,1,13.0,mixed,0,normal,0.05
2025-08-30T15:45:00+00:00,2025-08-30,15,45,5,X-ray실,0,0.0,mixed,0,normal,0.0
2025-08-30T15:45:00+00:00,2025-08-30,15,45,5,진단검사의학과,1,9.0,mixed,0,normal,0.05
2025-08-30T15:50:00+00:00,2025-08-30,15,50,5,진단검사의학과,0,0.0,mixed,0,normal,0.0
2025-08-30T16:00:00+00:00,2025-08-30,16,0,5,내과,0,0.0,mixed,0,normal,0.0
2025-08-30T16:15:00+00:00,2025-08-30,16,15,5,내과,0,0.0,mixed,0,normal,0.0
2025-08-30T16:20:00+00:00,2025-08-30,16,20,5,정형외과,1,18.0,mixed,0,normal,0.05
2025-08-30T16:30:00+00:00,2025-08-30,16,30,5,CT실,1,19.0,mixed,0,normal,0.05
2025-08-30T16:30:00+00:00,2025-08-30,16,30,5,진단검사의학과,1,11.0,mixed,0,normal,0.05
2025-08-30T16:35:00+00:00,2025-08-30,16,35,5,MRI실,1,37.0,mixed,0,normal,0.05
2025-08-30T16:40:00+00:00,2025-08-30,16,40,5,진단검사의학과,1,11.0,mixed,0,normal,0.05
2025-08-30T16:45:00+00:00,2025-08-30,16,45,5,MRI실,1,30.0,mixed,0,normal,0.05
2025-08-30T16:45:00+00:00,2025-08-30,16,45,5,X-ray실,1,8.0,mixed,0,normal,0.05
2025-08-30T17:00:00+00:00,2025-08-30,17,0,5,진단검사의학과,1,10.0,mixed,0,normal,0.05
2025-08-30T17:15:00+00:00,2025-08-30,17,15,5,진단검사의학과,1,8.0,mixed,0,normal,0.05
2025-08-30T17:25:00+00:00,2025-08-30,17,25,5,내과,1,23.0,mixed,0,normal,0.05
2025-08-30T17:25:00+00:00,2025-08-30,17,25,5,진단검사의학과,1,11.0,mixed,0,normal,0.05
2025-08-30T17:30:00+00:00,2025-08-30,17,30,5,내과,1,20.0,mixed,0,normal,0.05
2025-08-30T17:35:00+00:00,2025-08-30,17,35,5,내과,1,17.0,mixed,0,normal,0.05
2025-08-30T17:35:00+00:00,2025-08-30,17,35,5,진단검사의학과,1,10.0,mixed,0,normal,0.05
2025-08-30T17:40:00+00:00,2025-08-30,17,40,5,내과,1,16.0,mixed,0,normal,0.05
2025-08-30T17:40:00+00:00,2025-08-30,17,40,5,진단검사의학과,1,11.0,mixed,0,normal,0.05
2025-08-30T17:45:00+00:00,2025-08-30,17,45,5,정형외과,1,18.0,mixed,0,normal,0.05
2025-08-30T18:00:00+00:00,2025-08-30,18,0,5,CT실,1,11.0,mixed,0,normal,0.05
2025-08-30T18:05:00+00:00,2025-08-30,18,5,5,MRI실,1,25.0,mixed,0,normal,0.05
2025-08-30T18:10:00+00:00,2025-08-30,18,10,5,내과,0,0.0,mixed,0,normal,0.0
2025-08-30T18:45:00+00:00,2025-08-30,18,45,5,정형외과,1,13.0,mixed,0,normal,0.05
2025-08-30T18:45:00+00:00,2025-08-30,18,45,5,진단검사의학과,1,7.0,mixed,0,normal,0.05
2025-08-30T19:00:00+00:00,2025-08-30,19,0,5,X-ray실,1,6.0,mixed,0,normal,0.05
2025-08-30T19:20:00+00:00,2025-08-30,19,20,5,진단검사의학과,1,11.0,mixed,0,normal,0.05
2025-08-30T19:25:00+00:00,2025-08-30,19,25,5,내과,1,18.0,mixed,0,normal,0.05
2025-08-30T19:25:00+00:00,2025-08-30,19,25,5,진단검사의학과,2,8.5,mixed,0,normal,0.1
2025-08-30T19:35:00+00:00,2025-08-30,19,35,5,진단검사의학과,0,0.0,mixed,0,normal,0.0
2025-08-30T19:40:00+00:00,2025-08-30,19,40,5,진단검사의학과,1,9.0,mixed,0,normal,0.05
2025-08-30T19:45:00+00:00,2025-08-30,19,45,5,내과,1,22.0,mixed,0,normal,0.05
2025-08-30T19:45:00+00:00,2025-08-30,19,45,5,진단검사의학과,0,0.0,mixed,0,normal,0.0
2025-08-30T19:50:00+00:00,2025-08-30,19,50,5,내과,1,22.0,mixed,0,normal,0.05
2025-08-30T19:50:00+00:00,2025-08-30,19,50,5,진단검사의학과,1,8.0,mixed,0,normal,0.05
2025-08-30T19:55:00+00:00,2025-08-30,19,55,5,진단검사의학과,1,9.0,mixed,0,normal,0.05
2025-08-30T20:15:00+00:00,2025-08-30,20,15,5,내과,1,24.0,mixed,0,normal,0.05
2025-08-30T20:25:00+00:00,2025-08-30,20,25,5,X-ray실,1,7.0,mixed,0,normal,0.05
2025-08-30T20:35:00+00:00,2025-08-30,20,35,5,진단검사의학과,1,13.0,mixed,0,normal,0.05
2025-08-30T20:45:00+00:00,2025-08-30,20,45,5,내과,1,24.0,mixed,0,normal,0.05
2025-08-30T20:50:00+00:00,2025-08-30,20,50,5,X-ray실,1,7.0,mixed,0,normal,0.05
2025-08-30T20:50:00+00:00,2025-08-30,20,50,5,내과,0,0.0,mixed,0,normal,0.0
2025-08-30T21:05:00+00:00,2025-08-30,21,5,5,진단검사의학과,1,10.0,mixed,0,normal,0.05
2025-08-30T21:10:00+00:00,2025-08-30,21,10,5,정형외과,1,25.0,mixed,0,normal,0.05
2025-08-30T21:25:00+00:00,2025-08-30,21,25,5,진단검사의학과,0,0.0,mixed,0,normal,0.0
2025-08-30T21:30:00+00:00,2025-08-30,21,30,5,X-ray실,1,5.0,mixed,0,normal,0.05
2025-08-30T21:30:00+00:00,2025-08-30,21,30,5,진단검사의학과,1,14.0,mixed,0,normal,0.05
2025-08-30T21:35:00+00:00,2025-08-30,21,35,5,진단검사의학과,0,0.0,mixed,0,normal,0.0
2025-08-30T21:40:00+00:00,2025-08-30,21,40,5,CT실,0,0.0,mixed,0,normal,0.0
2025-08-30T21:50:00+00:00,2025-08-30,21,50,5,정형외과,1,17.0,mixed,0,normal,0.05
2025-08-30T21:55:00+00:00,2025-08-30,21,55,5,내과,0,0.0,mixed,0,normal,0.0
2025-08-30T21:55:00+00:00,2025-08-30,21,55,5,정형외과,1,20.0,mixed,0,normal,0.05
2025-08-30T21:55:00+00:00,2025-08-30,21,55,5,진단검사의학과,0,0.0,mixed,0,normal,0.0
2025-08-30T22:00:00+00:00,2025-08-30,22,0,5,진단검사의학과,1,9.0,mixed,0,normal,0.05
2025-08-30T22:10:00+00:00,2025-08-30,22,10,5,진단검사의학과,1,11.0,mixed,0,normal,0.05
2025-08-30T22:15:00+00:00,2025-08-30,22,15,5,CT실,1,17.0,mixed,0,normal,0.05
2025-08-30T22:20:00+00:00,2025-08-30,22,20,5,진단검사의학과,1,10.0,mixed,0,normal,0.05
2025-08-30T22:25:00+00:00,2025-08-30,22,25,5,진단검사의학과,1,8.0,mixed,0,normal,0.05
2025-08-30T22:30:00+00:00,2025-08-30,22,30,5,CT실,1,12.0,mixed,0,normal,0.05
2025-08-30T22:35:00+00:00,2025-08-30,22,35,5,내과,0,0.0,mixed,0,normal,0.0
2025-08-30T22:55:00+00:00,2025-08-30,22,55,5,CT실,1,17.0,mixed,0,normal,0.05
2025-08-30T22:55:00+00:00,2025-08-30,22,55,5,진단검사의학과,1,9.0,mixed,0,normal,0.05
2025-08-30T23:00:00+00:00,2025-08-30,23,0,5,내과,1,17.0,mixed,0,normal,0.05
2025-08-30T23:00:00+00:00,2025-08-30,23,0,5,정형외과,0,0.0,mixed,0,normal,0.0
2025-08-30T23:15:00+00:00,2025-08-30,23,15,5,X-ray실,1,5.0,mixed,0,normal,0.05
2025-08-30T23:20:00+00:00,2025-08-30,23,20,5,정형외과,0,0.0,mixed,0,normal,0.0
2025-08-30T23:25:00+00:00,2025-08-30,23,25,5,MRI실,1,29.0,mixed,0,normal,0.05
2025-08-30T23:25:00+00:00,2025-08-30,23,25,5,진단검사의학과,1,11.0,mixed,0,normal,0.05
2025-08-30T23:35:00+00:00,2025-08-30,23,35,5,진단검사의학과,1,8.0,mixed,0,normal,0.05
2025-08-30T23:50:00+00:00,2025-08-30,23,50,5,진단검사의학과,1,9.0,mixed,0,normal,0.05
2025-08-30T23:55:00+00:00,2025-08-30,23,55,5,CT실,1,20.0,mixed,0,normal,0.05
2025-08-30T23:55:00+00:00,2025-08-30,23,55,5,내과,0,0.0,mixed,0,normal,0.0
2025-08-30T23:55:00+00:00,2025-08-30,23,55,5,진단검사의학과,1,11.0,mixed,0,normal,0.05
2025-08-31T00:00:00+00:00,2025-08-31,0,0,6,내과,1,21.0,mixed,0,normal,0.05
2025-08-31T00:05:00+00:00,2025-08-31,0,5,6,진단검사의학과,0,0.0,mixed,0,normal,0.0
2025-08-31T00:10:00+00:00,2025-08-31,0,10,6,진단검사의학과,1,8.0,mixed,0,normal,0.05
2025-08-31T00:20:00+00:00,2025-08-31,0,20,6,정형외과,1,19.0,mixed,0,normal,0.05
2025-08-31T00:30:00+00:00,2025-08-31,0,30,6,진단검사의학과,1,10.0,mixed,0,normal,0.05
2025-08-31T00:45:00+00:00,2025-08-31,0,45,6,진단검사의학과,1,8.0,mixed,0,normal,0.05
2025-08-31T00:50:00+00:00,2025-08-31,0,50,6,진단검사의학과,1,9.0,mixed,0,normal,0.05
2025-08-31T01:15:00+00:00,2025-08-31,1,15,6,정형외과,0,0.0,mixed,0,normal,0.0
2025-08-31T01:25:00+00:00,2025-08-31,1,25,6,진단검사의학과,0,0.0,mixed,0,normal,0.0
2025-08-31T01:40:00+00:00,2025-08-31,1,40,6,진단검사의학과,1,5.0,mixed,0,normal,0.05
2025-08-31T01:45:00+00:00,2025-08-31,1,45,6,진단검사의학과,0,0.0,mixed,0,normal,0.0
2025-08-31T02:05:00+00:00,2025-08-31,2,5,6,진단검사의학과,0,0.0,mixed,0,normal,0.0
